titre_memoire;nom_encadreur
Conception d’un système d’assurance qualité hygiénique des produits « c’ bon »   et «  bonatura » pour l’obtention de l’agrément du Ministère de la Santé : méthode  HACCP ;Dr GOUDOUM Augustin
Amélioration du suivi des chaînes de production du yaourt « Tino » et des boissons tampico à la First African Company (FAC).;Dr PONKA Roger
Étude de la mise en place du processus de démarche qualité dans l’usine sahel agro (Maroua, Extrême-Nord, Cameroun);Pr ABDOU BOUBA Armand
Effets du stockage sur les caractéristiques physico-chimiques de la farine de maïs au sein de l’usine sahel agro (Maroua, Extrême-Nord Cameroun).;Dr GOUDOUM Augustin
Développement d’un nouveau produit dans une société de charcuterie (MADA) : cas du saucisson à base de viande de poulet;Dr GOUDOUM Augustin
Contribution à la mise en place d’une démarche HACCP dans la structure Manfouo David (MADA) : cas du yaourt à boire;Dr NKOUAM Gilles Bernard
Optimisation de l’utilisation des emballages et évaluation des pertes en emballages dans le conditionnement  du yaourt brassé tino et boisson tampico;Dr NKOUAM Gilles Bernard
Production de biscuit à base de sorgho muskwari;Pr DJOULDE DARMAN Roger
Amélioration et la maîtrise de la coloration des bières 33 export, castel et beaufort. ;Dr PONKA Roger
La veille et conformité réglementaire de l'unité de production de SAGRI (SOACAM Agro-industries);Dr MEZAJOUG KENFACK Laurette Blandine
Identification, analyse et maîtrise des causes de non qualité de la production de la farine de blé : cas de la SCTB.;Dr NKOUAM Gilles Bernard
Étude de la variabilité de l’acidité du beurre de cacao pendant le stockage;Pr ABDOU BOUBA Armand
Amélioration de la viabilité de la levure;Dr MEZAJOUG KENFACK Laurette Blandine
Influence de la saturation des huiles sur la qualité du savon.;Dr MEZAJOUG KENFACK Laurette Blandine
Évaluation des pertes en matière et énergie tout au long de la chêne de production du savon promo2 au CCO.SA et optimisation du rendement;Pr DANWE RAIDANDI
"Contribution à l’élaboration d’un modèle de Bilan CO2 à la Société Anonyme des Brasseries du Cameroun (S.A.B.C) usine de Yaoundé : Évaluation de la production dans les bio-fermenteurs, de la Consommation dans les ateliers de fermentation et de Brassage; et saturation de la bière.";Dr NKOUAM Gilles Bernard
Conception et Dimensionnement d’une ligne de production de jus à deux conditionnements.;Pr DJONGYANG Noel
Thème: amélioration de la brillance et du ph des bières à la SABC de Bafoussam.;Dr PONKA Roger
Influence du stockage sur la qualité microbiologique de la farine de maïs produite à l’usine Sahel-agro (Maroua, Extrême-Nord, Cameroun).;Dr GOUDOUM Augustin
Mise en place d'un plan de maîtrise sanitaire en rapport avec les référentielles a l'établissement MADA;Pr ABDOU BOUBA Armand
Contribution à la mise sur pied d'un système de management de la qualité au CCO selon le référentiel ISO 9001.;Dr PONKA Roger
Conception, dimensionnement et réalisation d’un  bioréacteur pour  la production de la bière de sorgho « bili-bili».;Pr DJOULDE DARMAN Roger
Diagnostic de réalisation et d’analyse d’impact socio-économique de l’introduction de la pisciculture et de l’embouche bovine dans les périmètres des rizicoles de la SEMRY: Cas des bassins rizicoles de Yagoua,kai-kai et Maga;Dr GOUENET Rene
Évaluation de l’épargne rurale et de l’accès au microcrédit sur la solidité financière des agriculteurs dans le Mayo Tsanaga;Pr DANWE RAIDANDI
Analyse socio-économique de la réhabilitation des mares naturelles dans la plaine inondable du Logone à l'Extrême-Nord du Cameroun : cas des localités  LAHAÏ et ZINA;Pr MADI ALI
Évaluation des sous projet PACA de production animal de la Région de l’Extrême-Nord : Mayo-Danay, Mayo-Kani, Diamaré;Pr DANWE RAIDANDI
Rôles des organisations agropastorales dans le développement de l’économie du secteur élevage dans le Mayo-kani;Pr HALIDOU MAMOUDOU
Impact socio-économique du programme ACEFA sur les groupements du Diamaré;Dr EKAMENA Sabine
Niveau d’adoption des innovations par les exploitations familiales agricoles dans les agrosystèmes du Nord : Cas des terroirs Sanguéré-Paul et Zéra;Pr MADI ALI
La gestion du crédit agricole et ses enjeux pour l’autonomisation de la femme rurale : cas des femmes mutualistes de la MC2 Bafoussam rural;Pr DANWE RAIDANDI
Contribution des activités extra-agricole aux revenus des exploitations agricoles familiale;Pr MADI ALI
Impact de la structuration en filière des exploitants agricoles du Diamaré sur l’agriculture familiale;Pr DANWE RAIDANDI
Catégorisation des exploitations agricoles et systèmes de production de Soja dans le Mayo-Tsanaga;Dr Philippe KOSMA
Impact du conseil collectif sur l’amélioration des revenus des exploitations familiales agricoles membre des organisations paysannes mise en œuvre par ACEFA dans l’arrondissement de Dschang;Pr GONNE Bernard
Pratique de gestion dans connaissances des organisations paysannes dans le département du Diamaré;Dr GOUDOUM Augustin
Impact économique du dépérissement en tubercule de manioc au sein des organisations paysannes : cas des bassins de production de Meiganga et de Dir;Dr Philippe KOSMA
Contribution des organisations paysannes pour l’amélioration du rendement agricole;Pr GONNE Bernard
Analyse de la filière Morelle africaine de Njombé-Pendja : atouts et contraintes au développement;Pr ABDOU BOUBA Armand
Contribution aux développements socio-économiques des plants issus des fragments des tiges et comparaison avec autres méthodes de production de semence de bananier et plantain;Dr NKOUAM Gilles Bernard
Impact du financement du CDD sur les groupements des producteurs dans le Diamaré;Pr SOULEYMANOU KADOUAMAI
Analyse des risques liés au développement de la filière soja dans le Mayo Tsanaga;Pr ABDOU BOUBA Armand
La filière karité et son influence sur le revenu des acteurs : cas des bassins de production des communes de Garoua 3 et Tcheboa Ngong dans la Région du Nord-Cameroun;Pr KOSSOUMNA LIBA’A Natali
Évaluation de l’appui conseil au niveau des groupements de producteurs accompagnés par ACEFA de 2013-2015 dans le département du Mayo-Kani;Pr KOSSOUMNA LIBA’A Natali
Évaluation socio-économique des systèmes d’exploitation familiale de la grande Mifi;Dr PONKA Roger
Contribution du financement par fond rotatif sur le revenu des ménages;Pr HALIDOU MAMOUDOU
Pratiques et stratégies des éleveurs pour l’amélioration de l’aliment du bétail dans le Département du Mayo-Kani : cas des Arrondissements de Mindif, Moulvoudaye et Kaélé.;Pr ABDOU BOUBA Armand
Impact de la maladie de Newcastle sur la production de poulet locale : cas de l’Arrondissement de Touloum.;Pr DJOULDE DARMAN Roger
Caractéristiques socio-économiques et techniques de l’élevage des Petits Ruminants dans le Département du Diamaré (Région de l’extrême-Nord Cameroun).;Pr ABDOU BOUBA Armand
Effet de la substitution de la farine de poisson par la farine de sang sur les performances de croissance et de survie des juvéniles de Clarias gariepinus.;Dr NKOUAM Gilles Bernard
Influence des paramètres physico-chimiques de l’eau sur la production des alevins de Clarias gariepinus : cas de la ferme aquacole du septentrion.;Dr PONKA Roger
Évaluation des pertes zootechniques en production porcine : cas de la ferme porcine NOTIKA Bafoussam.;Pr MADI ALI
Caractéristiques bromatologiques des farines de poisson au Cameroun et leurs effets sur les performances zootechniques des poulets de chair.;Pr DJOULDE DARMAN Roger
Suivi et évaluation des performances techniques d’une ferme avicole.;Pr DANWE RAIDANDI
Effet de la substitution partielle de la farine de poisson par la farine d’asticot dans l’alimentation des poulets de chair en finition : performances zootechniques, caractéristique de la carcasse, résultat économique.;Pr ABDOU BOUBA Armand
Évaluation de l’effet de renouvellement de l’eau sur la survie et la croissance des larves et des alevins de Clarias gariepinus en circuit ouvert : cas de l’écloserie du GIC Aquaculture intégré de l’Ouest.;Dr GOUDOUM Augustin
Effet du charbon actif des coques de noix de coco sur les performances zootechniques et la qualité de la carcasse des poulets de chair.;Dr MOUNTAPMBEME KOUOTOU Patrick
Effet d’incorporation du contenu du rumen séché dans l’alimentation sur les performances des lapins (Oryctogalus cuniculus) en croissance à la ferme de la fondation Bethléem de Mouda.;Dr Philippe KOSMA
Influence de la combinaison d’un phytoadditif (Allium cepa) au 17 alpha nethyl testorne sur la réversion sexuelle et les performances  de croissance et de survie chez Oreochromis niloticus.                                                                                                                                                                                                      ;Dr FAMENI TOPWA Sidonie
Performance des ovins Oudah alimenté à partir du son de riz de l’Extrême –Nord Cameroun. ;Pr DJOULDE DARMAN Roger
Insémination artificielle de Clarias gariepinus et sa gestion au stade larvaire et d’alevinage.;Pr MADI ALI
Caractérisation phénotypiques des porcs locaux et influence de l’alimentation sur leur productivité à Garoua.;Dr AMANG Perfusion Andre
Impacts de la provenance des animaux de boucherie sur la qualité de la viande : cas des abattoirs de la ville de Maroua.;Pr ABDOU BOUBA Armand
Effet de l’incorporation de la fane d’arachide dans l’alimentation sur les performances zootechniques des lapins (Oryctogalus cuniculus)en croissance à la ferme de la Cathédrale Notre Dame de Maroua.;Dr GOUDOUM Augustin
Caractérisation et migration de quelques espèces de poissons durant l’année dans le lac de Maga, des fleuves Logone, Loromé, Logomatya dans la région Extrême-Nord.;Pr DJOULDE DARMAN Roger
Amélioration des performances des vaches laitières locales par insémination artificielle : contraintes, avantages, inconvénients.;Dr FOYET Harquin Simplice
Organisation et évaluation des paramètres zootechniques d’une ferme porcine : cas de la ferme porcine NOTIKA Bafoussam.;Pr DJOULDE DARMAN Roger
Étude corrélative entre l’eau de boisson distribuée aux poules et leurs maladies à PROLACAM : cas de la ferme de BALENG II.;Pr ABDOU BOUBA Armand
Le dépérissement des agrumes dans la région de l'Adamaoua;Dr HAMAWA YOUGOUDA
Problématique d’adoption des variétés NERICA dans les périmètres irrigués du Logone et Chari;Pr MADI ALI
Étude de la performance agronomique des nouvelles variétés du coton par rapport à celles qui sont en culture;Dr Philippe KOSMA
Optimisation de la densité de repiquage du sorgho (Sorghum bicolor) de saison sèche dans               la région de l’Extrême- Nord Cameroun.;Pr DJOULDE DARMAN Roger
Évaluation de l’incidence des attaques fongiques sur le processus de production des géniteurs de cacao à la station polyvalente de recherche agricole de Nkoemvone;Dr Philippe KOSMA
Évaluation  de l’efficacité du programme de protection phytosanitaire contre  les ravageurs du cotonnier  au Cameroun. ;Dr AZO’O ELA Michelson
Essai d'introduction et d'évaluation variétale de quinoa ;Dr TCHATCHOUA TCHAPDA Dorothy
Évaluation de l’aptitude au bouturage de 4 géniteur de cacaoyer (snk16.ics46.up a 143.t79/501) par variation du type de bouture de l’emploi de différente dose d’une hormone rhizogène au spran/fodecc de Nkoemvone;Dr TCHATCHOUA TCHAPDA Dorothy
L’impact de la cendre des feuilles de neem  sur la croissance de trois variétés de sorgho (variété locale, S 34, CS 54).;Dr HAMAWA YOUGOUDA
Test du comportement du soja(Glycine max) à un apport de chaux sur sol acide dans la localité de Mangoun à Foumbot;Dr TCHATCHOUA TCHAPDA Dorothy
Effet des dates de semis sur le rendement de cinq (05) variétés d’ haricot commun (Phaseolus vulgaris) nouvellement introduites dans la localité de Njombé;Dr HAMAWA YOUGOUDA
Adaptabilité de cinq (05) variétés d’ haricot commun (Phaseolus vulgaris) dans la localité de Njombé;Dr FROUMSIA Moksia
Influence de la date de semis et de repiquage sur la production d'oignon dans le Diamaré;Dr Philippe KOSMA
Adaptabilité de six variétés de haricot volubille à l’Extrême-Nord;Dr Philippe KOSMA
Effet de la fertilisation des résidus agricoles sur la croissance et le rendement du mil;Dr HAMAWA YOUGOUDA
Caractérisation phénotypique de Faidherbia albida en zone Soudano-Sahélienne du Cameroun;Dr TCHATCHOUA TCHAPDA Dorothy
Effet des différents types de fertilisation sur le rendement du sorgho dans la zone Sud-Ouest de la Bénoué région du Nord-Cameroun;Dr HAMAWA YOUGOUDA
Évaluation de l’effet de quelques fongicides sur pestalotiopsis microspora, agent causal de la maladie des feuilles d’hévéa dans la région du Sud-Ouest Cameroun;Dr Philippe KOSMA
Évaluation de l'incidence de la Mosaïque Africaine de Manioc sur deux variétés de manioc en association avec le maïs dans la région du centre Cameroun;Dr TCHATCHOUA TCHAPDA Dorothy
Caractérisation agro-morphologique de quelques variétés de haricot nain (Phaseolus vulgaris) dans la région de l'Extrême-Nord Cameroun;Dr HAMAWA YOUGOUDA
Test de pathogénicité et d’agressivité de quelques souches de Fusarium oxysporum prélavées des palmiers à huile de la CDC;Dr NGOH DOOH Collins
Impact des pratiques culturales sur l’évolution du carbone organique des sols: Cas des localités de Meskine et Guyring (Maroua, Extrême-Nord Cameroun);Pr ABDOU BOUBA Armand
Effet des divers traitements auxiniques sur le comportement du cacaoyer multiplié par la technique de bouturage direct sous tunnel plastique;Dr TCHATCHOUA TCHAPDA Dorothy
Contribution à la maîtrise des causes de non-conformité de ph des bières finies à la SABC de Garoua;Dr TCHEUMI Herve Leclerc
Preparation and quality evaluation of non-alcoholic sorghum malt drink;Pr DJOULDE DARMAN Roger
Production de la farine de sevrage a base du sorgho malte et détermination des paramètres physicochimiques;Pr DJOULDE DARMAN Roger
Production de la farine de manioc et introduction comme farine de substitution en boulangerie à N’Djamena (Tchad) ;Pr ABDOU BOUBA Armand
Conservation de stock des céréales dans les entrepôts des tailles moyennes, le cas de l’office national de sécurité alimentaire (ONASA) de N’Djamena;Dr GOUDOUM Augustin
Conception et dimensionnement d’un four solaire pour la fabrication du pain et biscuit à base de sorgho;Pr DJOULDE DARMAN Roger
Déficit des fonctionnalités équipement de régulation des paramètres de séchage et impact sur la chaîne de production;Dr NKOUAM Gilles Bernard
Caractérisation physico-chimique et nutritionnelle des biscuits produits à base des farines composites amande de mangue (Mangifera indica) – blé;Pr PONKA Roger
Influence de l’élimination des anti-nutriments des amandes de mangues sur les leurs propriétés physico-chimiques et fonctionnelles;Dr GOUDOUM Augustin
Caractérisation nutritionnelle d’un biscuit de riz enrichi à la pulpe de baobab;Dr GOUDOUM Augustin
Valorisation des sous-produits de la transformation du manioc en amidon dans la production de la farine pour diabétiques à la STM;Dr MEZAJOUG KENFACK Laurette Blandine
Réduction du rassissement du pain en utilisant les farines d’amandes de mangues (Mangifera indica) et les paramètres de procédé de fabrication du pain;Dr NKOUAM Gilles Bernard
Influence des améliorants sur la rhéologie de la pâte à pain et impact sur la panification;Dr NKOUAM Gilles Bernard
Suivi, maîtrise opérationnelle et proposition des solutions pour l’amélioration des performances environnementales de la SOCAPALM de Nkapa;Dr LOULEO Jean
Amélioration de la qualité des yaourts par la maîtrise statistique des procédés à CAMLAIT.SA;Pr ABDOU BOUBA Armand
Amélioration et maîtrise des freintes de bières en caves à la SABC de Garoua;Dr MEZAJOUG KENFACK Laurette Blandine
Suivi et évaluation de la qualité et sécurité sanitaire des denrées alimentaires : cas de l’élimination des contaminants dans le raffinage de l’huile de palme;Dr GOUDOUM Augustin
Production de saucisson de poisson substituée au bœuf dénommé « saucisson MADA »;Dr GOUDOUM Augustin
Formulation et caractérisation de 3 pains de mie fonctionnels au son de maïs, sorgho et riz;Pr PONKA Roger
Optimisation de la capacité journalière de raffinage d’huile de palme brute soruor au sein de la Soproicam.;Pr DJONGYANG Noel
Extraction des protéines de soja (glycine max) et production artisanale de jambon de soja à IAO;Pr PONKA Roger
Optimisation de la chaîne de production de laiterie de CAMLAIT / Usine de Bassa;Pr ABDOU BOUBA Armand
Appui conseil et la professionnalisation des organisations paysannes : cas des organisations paysannes accompagnées par le programme ACEFA dans l’arrondissement de Maroua 1er, 2e  et 3e;Pr SOULEYMANOU KADOUAMAI
Analyse de la pertinence du financement ACEFA et évaluation de ses effets sur les groupements de producteurs dans le département du Mayo-Kani Extrême-Nord Cameroun;Pr DJOULDE DARMAN Roger
Impact socio-économique des crédits agro-pastoraux  sur les bénéficiaires en zone rurale : cas de l'UCEC-CDD;Pr DANWE RAIDANDI
Évaluation socio-économique des EFA de l’observatoire du programme ACEFA dans le cadre de l’appui conseil : cas de quelques arrondissements du Diamaré;Pr DANWE RAIDANDI
Contribution du système cotonnier aux revenus des exploitations familiales;Pr MADI ALI
Analyse de la rentabilité au sein  des organisations des producteurs agropastoraux dans le Mayo-Kani : cas des coopératives;Dr HAMAWA YOUGOUDA
Approches d’assistance aux populations en situation d’urgence et de protection sociale : cas du transfert monétaires ;Pr DANWE RAIDANDI
Évaluation de la contribution du revenu des cultures maraîchères dans le développement des exploitations familiales agropastorales;Dr GOUENET Rene
Analyse du système de commercialisation du fourrage dans le sahel du Cameroun : cas de la ville de Maroua;Pr DANWE RAIDANDI
Rentabilité des exploitations familiales agricoles dans les agro systèmes du Nord : cas des localités de Sanguere-Paul, Zera, Sirlawe et mowo;Pr MADI ALI
Analyse des performances technico-économiques des exploitations maraîchères : cas de la tomate dans le Diamaré ;Dr Philippe KOSMA
Étude de l’acceptabilité de la technique de culture hors sol : cas de la production de laitue;Pr ABDOU BOUBA Armand
Essai  d’analyse de l’impact du microcrédit sur la pauvreté : cas des MC2 parrainées par Afriland first bank;Dr EKAMENA Sabine
Analyse de la filière niébé dans la région de l’Extrême-Nord;Pr ABDOU BOUBA Armand
Contribution du BELACD-CARITAS LAI dans la mise en œuvre du projet sécurité alimentaire pour un développement socio-économique de la tandjilé (TCHAD) : cas de la riziculture de contre saison;Pr DANWE RAIDANDI
Importance du conseil agricole dans l’accompagnement des organisations paysannes pour la lutte contre l’insécurité alimentaire dans la région de l’Extrême-Nord du Cameroun : cas de la commune de Mokolo;Pr PONKA Roger
Évaluation de la contribution de l’appui financier au niveau des groupements de producteurs accompagnés par le programme au développement des emplois ruraux;Pr PONKA Roger
Contribution du conseil technico-économique au développement des groupements  de producteurs : cas du département de la Benoué;Dr Philippe KOSMA
Évaluation des effets de l’appui conseil au sein des groupements des producteurs agricoles du Diamaré : cas du programme ACEFA;Pr DJOULDE DARMAN Roger
Evaluating the effects of ACEFA's financial support on the activities of farmers organizations in the Diamaré;Dr Philippe KOSMA
Évaluation du conseil agricole dans le développement des activités économiques des exploitations familiales agropastorales : cas de l’observatoire du programme ACEFA;Pr ABDOU BOUBA Armand
Étude comparative de la rentabilité socio-économique des filières soja et souchet dans le Nord Cameroun : cas de la partie Sud-Ouest du département de la Benoué.;Pr ABDOU BOUBA Armand
Évaluation des appuis promus par le programme d’appui aux PME agricoles et agroalimentaires (PMEAA) dans la région de l’Ouest Cameroun ;Pr ABDOU BOUBA Armand
Résistance à la rouille et performance de quelques variétés de soja sur sol amandé aux feuilles de Tithonia diversifolia;Dr HAMAWA YOUGOUDA
Évaluation de la résistance à la sécheresse d’un hybride mutant de niébé ;Dr TCHATCHOUA TCHAPDA Dorothy
Evaluation of the effet to pre-treatement techniques on the germination of oil palm seeds;Dr HAMAWA YOUGOUDA
Effet de la fertilisation organique sur la croissance et le rendement de la tomate sur les sols de Maroua;Dr Philippe KOSMA
Évaluation de l’effet des biopesticides sur les maladies et ravageurs de la tomate : cas de l’urine de vache et l’extrait du neem  ;Dr NGOH DOOH Collins
Effet du tallage aérien de 12 variétés du sorgho repiqué dans la région de l’Extreme-Nord ;Dr HAMAWA YOUGOUDA
Étude de l’effet du compost à base de jathropha  curcas et la fertilisation minérale sur les performances agronomique et le rendement du gombo à kismatari Nord-Cameroun ;Dr FROUMSIA Moksia
Évaluation du pouvoir germinatif de la morelle africaine dans la localité de Njombé;Dr HAMAWA YOUGOUDA
Evaluation of the rooting capacity of cocoa hybrids dissiminated in the 5th agro ecological zone of Cameroon;Dr TCHATCHOUA TCHAPDA Dorothy
Caractérisation morphologique du poivrier dans les régions du Centre et du Littoral au Cameroun;Dr TCHATCHOUA TCHAPDA Dorothy
Effet des prétraitements sur la croissance initiale de six provenances de Faidherbia albida de la zone soudano-sahélienne du Cameroun;Dr TCHATCHOUA TCHAPDA Dorothy
Étude comparative de la fertilité du sol par un apport de fumure organique, de champignons mycorhiziens et d’engrais minéraux pour les cultures maraîchères : cas de la pastèque à FOMAKAP.;Dr HAMAWA YOUGOUDA
Réponse de la tomate à la fertilisation chimique, organique et biologique dans la région de l’Extrême-Nord ;Dr Philippe KOSMA
Évaluation de l’effet de la densité sur le rendement de deux types d’ail dans la région de l’Extrême-Nord- Cameroun ;Dr Philippe KOSMA
Diversité des insectes ravageurs de la pastèque et quelques méthodes de protection pratiquées à Yagoua ;Dr AZO’O ELA Michelson
Étude de la diversité génétique de la population du Niébé par les marqueurs microsatellites;Dr TCHATCHOUA TCHAPDA Dorothy
Évaluation de l’effet des engrais minéraux sur les paramètres de croissance, de développement et de rendement de la culture d’ail dans la localité de Maroua;Dr Philippe KOSMA
Adaptabilité de trois variétés de riz en saison chaude pour une combinaison optimale densité de semi-dose d’engrais dans le Département du Mayo-Louti;Dr Philippe KOSMA
Évaluation de la production et de la résistance au bio-agresseur des riz Nerica 3 et IR 46 dans l’agroécosystème de Maroua ;Dr Philippe KOSMA
Valorisation de la drèche de bil-bil et de l’effluent de harki comme complément à l’embouche des ovins dans la ville de Maroua. ;Pr PONKA Roger
Effet de la supplémentation des drêches de bil-bil et d’azardirachta indica sur les performances de croissance des lapins dans la région de l’extrême-nord. ;Dr ZIEBE Roland
Effet de la substitution du maïs par la drèche des brasseries dans l’alimentation des poulets de chairs.;Pr DJOULDE DARMAN Roger
Evaluation de l’effet des résidus de récolte sur la croissance des ovins : cas des fanes d’arachides.;Pr DJOULDE DARMAN Roger
Effet de l’urée sur l’amélioration de la production laitière  des vaches Simgouds au ranch de la SODEPA Faro et Deo.;Pr PONKA Roger
Étude comparative des aliments d’intrants locaux (son de mil, tourteau de coton) et des aliments artificiels avec la fertilisation organique (fiente de poules pondeuses) sur les performances zootechniques de tilapia.;Pr PONKA Roger
