matricule_etudiant;titre_memoire;annee
13Z662S;Influence  de la complémentation alimentaire sur production laitière  et détermination de quelques paramètres  physico-chimiques  des laits  collectés dans la ferme «  Farcha lait » à Njamena;2013-2014
13Z453S;Effet d’une alimentation enrichie en feuilles du Chromolaena odorata et du Leucaena leucocephala sur les performances de croissance et survie du tilapia;2013-2014
13Z609S;Performances pondérales des canards;2013-2014
13Z762S;Présélection des vaches de race Fulani rouge pour la production laitière dans la région de l’Extrême-Nord;2013-2014
13Z622S;Étude des performances zootechniques des ovins kababich dans la région du Ouadda;2013-2014
13Z645S;Impact des canaux de pêche sur le pastoralisme dans la plaine d’inondation du Logone (Extrême-Nord, Cameroun);2013-2014
13Z379S;Effet de l’incorporation du Moringa oleifira sur les performances de croissance des lapins;2013-2014
09K214S;Caractérisation technique et économique de l’élevage des bovins à la station zootechniques de Wakwa;2013-2014
10S282S;Étude comparée de la croissance larvaire suite à l’utilisation des hormones de synthèses (suprefact + Motilium) et l’hormone hypophysaire chez Clarias gariepinus;2013-2014
13Z005S;Évaluation du processus de la préparation des vaches locales à l’insémination artificielle;2013-2014
13Z756S;Effet de la substitution de la farine de poisson par la farine d’asticot séché sur les performances de croissance des alevins de Clarias garegunis;2013-2014
10S355S;Impact de la paille traité à l’urée sur la croissance des ruminants;2013-2014
13Z557S;Effet de l’amélioration de l’alimentation et performance sur la croissance pondérale chez les cobayes (Cavia porcellus);2013-2014
13Z472S;Effet d’une alimentation biphasée sur les performances de production de Cobb500;2013-2014
13Z761S;Évaluation  d’une méthode de lutte biologique sur le rendement du riz dans un agrosystème irrigué dans l’Extrême-Nord, Cameroun;2013-2014
10S094S;Amélioration de la croissance des plantes de cacaoyer (Theobroma cacao L.) en pépinière par les biofertilisants ;2013-2014
10S146S;Évaluation génétique de la résistance de trois variétés locales de niébé (Vigna unguiculata) au striga au Cameroun;2013-2014
09K193S;Étude des performances agro morphologiques de cinq variétés de riz Nérica dans la zone des hautes savanes guinéennes Cameroun et proposition d’amélioration variétale;2013-2014
13Z417S;Développement et application des marqueurs moléculaires pour la mise au point des variétés de niébé (Vigna unguiculata) résistants aux pucerons (A. croccivora);2013-2014
10S233S;Rapid propagation of Manihot esculenta using the mini stakes multiplication technic;2013-2014
13Z010S;Diagnostic participatif pour la lutte contre les insectes en champ du niébé : cas des insectes des fleurs;2013-2014
13Z542S;Évaluation de l’effet de 8 fumures organiques sur le développement du poivrier (Piper nigrum) en pépinière;2013-2014
09K427S;Caractérisation génétiques de la population des lignées F1 et BC1 de trois variétés locales de niébé (Vigna unguiculata) du Cameroun;2013-2014
10S285S;Vegetative growth Performance of oil palm seedlings, in response to organic and inorganic fertilizer;2013-2014
13Z442S;Évaluation des performances agronomiques des variétés hybrides de maïs issues de l’IITA avec une variété hybride locale dans la zone agro-écologique à Bertoua Est-Cameroun;2013-2014
13Z323S;Collecte et caractérisation des accessions de manioc au Cameroun;2013-2014
13Z311S;Effets de la densité de semis sur les caractères agro-morphologiques de deux variétés de soja (Glycine max (L)) dans les agrosystèmes de Mokolo;2013-2014
10S398S;Étude génétique de la résistance des fleurs de niébé aux thrips;2013-2014
11V316S;Performance qualité des bières S.A.B.C : First Time Right (FTR);2015-2016
11V149S;Valorisation des sorghos SP (Sorghum bicolor L. Moench) en panification;2015-2016
14A138S;Ameliorating the organoleptic and rheological properties of NEIMA tomato by use food additives and appropriate operating conditions in SAGRI SA;2015-2016
14A179S;Conception d’un système d’assurance qualité hygiénique des produits « c’ bon »   et «  bonatura » pour l’obtention de l’agrément du Ministère de la Santé : méthode  HACCP ;2015-2016
14A306S;Amélioration du suivi des chaînes de production du yaourt « Tino » et des boissons tampico à la First African Company (FAC).;2015-2016
14A101S;Étude de la mise en place du processus de démarche qualité dans l’usine sahel agro (Maroua, Extrême-Nord, Cameroun);2015-2016
14A222S;Effets du stockage sur les caractéristiques physico-chimiques de la farine de maïs au sein de l’usine sahel agro (Maroua, Extrême-Nord Cameroun).;2015-2016
14A284S;Développement d’un nouveau produit dans une société de charcuterie (MADA) : cas du saucisson à base de viande de poulet;2015-2016
14A718S;Contribution à la mise en place d’une démarche HACCP dans la structure Manfouo David (MADA) : cas du yaourt à boire;2015-2016
14A052S;Optimisation de l’utilisation des emballages et évaluation des pertes en emballages dans le conditionnement  du yaourt brassé tino et boisson tampico;2015-2016
11V418S;Production de biscuit à base de sorgho muskwari;2015-2016
14A376S;Amélioration et la maîtrise de la coloration des bières 33 export, castel et beaufort. ;2015-2016
14A621S;La veille et conformité réglementaire de l'unité de production de SAGRI (SOACAM Agro-industries);2015-2016
10S411S;Identification, analyse et maîtrise des causes de non qualité de la production de la farine de blé : cas de la SCTB.;2015-2016
14A719S;Étude de la variabilité de l’acidité du beurre de cacao pendant le stockage;2015-2016
14A659S;Amélioration de la viabilité de la levure;2015-2016
14A116S;Influence de la saturation des huiles sur la qualité du savon.;2015-2016
14A208S;Évaluation des pertes en matière et énergie tout au long de la chêne de production du savon promo2 au CCO.SA et optimisation du rendement;2015-2016
14A126S;"Contribution à l’élaboration d’un modèle de Bilan CO2 à la Société Anonyme des Brasseries du Cameroun (S.A.B.C) usine de Yaoundé : Évaluation de la production dans les bio-fermenteurs, de la Consommation dans les ateliers de fermentation et de Brassage; et saturation de la bière.";2015-2016
14A720S;Conception et Dimensionnement d’une ligne de production de jus à deux conditionnements.;2015-2016
14A158S;Thème: amélioration de la brillance et du ph des bières à la SABC de Bafoussam.;2015-2016
14A129S;Influence du stockage sur la qualité microbiologique de la farine de maïs produite à l’usine Sahel-agro (Maroua, Extrême-Nord, Cameroun).;2015-2016
14A280S;Mise en place d'un plan de maîtrise sanitaire en rapport avec les référentielles a l'établissement MADA;2015-2016
14A268S;Contribution à la mise sur pied d'un système de management de la qualité au CCO selon le référentiel ISO 9001.;2015-2016
14A633S;Conception, dimensionnement et réalisation d’un  bioréacteur pour  la production de la bière de sorgho « bili-bili».;2015-2016
14A029S;Diagnostic de réalisation et d’analyse d’impact socio-économique de l’introduction de la pisciculture et de l’embouche bovine dans les périmètres des rizicoles de la SEMRY: Cas des bassins rizicoles de Yagoua,kai-kai et Maga;2015-2016
11V426S;Évaluation de l’épargne rurale et de l’accès au microcrédit sur la solidité financière des agriculteurs dans le Mayo Tsanaga;2015-2016
14A657S;Analyse socio-économique de la réhabilitation des mares naturelles dans la plaine inondable du Logone à l'Extrême-Nord du Cameroun : cas des localités  LAHAÏ et ZINA;2015-2016
11V003S;Évaluation des sous projet PACA de production animal de la Région de l’Extrême-Nord : Mayo-Danay, Mayo-Kani, Diamaré;2015-2016
11V011S;Rôles des organisations agropastorales dans le développement de l’économie du secteur élevage dans le Mayo-kani;2015-2016
14A715S;Impact socio-économique du programme ACEFA sur les groupements du Diamaré;2015-2016
11V373S;Niveau d’adoption des innovations par les exploitations familiales agricoles dans les agrosystèmes du Nord : Cas des terroirs Sanguéré-Paul et Zéra;2015-2016
14A172S;La gestion du crédit agricole et ses enjeux pour l’autonomisation de la femme rurale : cas des femmes mutualistes de la MC2 Bafoussam rural;2015-2016
14A112S;Contribution des activités extra-agricole aux revenus des exploitations agricoles familiale;2015-2016
14A716S;Impact de la structuration en filière des exploitants agricoles du Diamaré sur l’agriculture familiale;2015-2016
09K162S;Catégorisation des exploitations agricoles et systèmes de production de Soja dans le Mayo-Tsanaga;2015-2016
11V224S;Impact du conseil collectif sur l’amélioration des revenus des exploitations familiales agricoles membre des organisations paysannes mise en œuvre par ACEFA dans l’arrondissement de Dschang;2015-2016
14A668S;Pratique de gestion dans connaissances des organisations paysannes dans le département du Diamaré;2015-2016
11V390S;Impact économique du dépérissement en tubercule de manioc au sein des organisations paysannes : cas des bassins de production de Meiganga et de Dir;2015-2016
14A094S;Contribution des organisations paysannes pour l’amélioration du rendement agricole;2015-2016
14A081S;Analyse de la filière Morelle africaine de Njombé-Pendja : atouts et contraintes au développement;2015-2016
11V318S;Contribution aux développements socio-économiques des plants issus des fragments des tiges et comparaison avec autres méthodes de production de semence de bananier et plantain;2015-2016
14A056S;Impact du financement du CDD sur les groupements des producteurs dans le Diamaré;2015-2016
12X477S;Analyse des risques liés au développement de la filière soja dans le Mayo Tsanaga;2015-2016
11V271S;La filière karité et son influence sur le revenu des acteurs : cas des bassins de production des communes de Garoua 3 et Tcheboa Ngong dans la Région du Nord-Cameroun;2015-2016
14A044S;Évaluation de l’appui conseil au niveau des groupements de producteurs accompagnés par ACEFA de 2013-2015 dans le département du Mayo-Kani;2015-2016
14A066S;Évaluation socio-économique des systèmes d’exploitation familiale de la grande Mifi;2015-2016
11V429S;Contribution du financement par fond rotatif sur le revenu des ménages;2015-2016
11V009S;Pratiques et stratégies des éleveurs pour l’amélioration de l’aliment du bétail dans le Département du Mayo-Kani : cas des Arrondissements de Mindif, Moulvoudaye et Kaélé.;2015-2016
14A231S;Impact de la maladie de Newcastle sur la production de poulet locale : cas de l’Arrondissement de Touloum.;2015-2016
11V014S;Caractéristiques socio-économiques et techniques de l’élevage des Petits Ruminants dans le Département du Diamaré (Région de l’extrême-Nord Cameroun).;2015-2016
14A713S;Effet de la substitution de la farine de poisson par la farine de sang sur les performances de croissance et de survie des juvéniles de Clarias gariepinus.;2015-2016
14A360S;Influence des paramètres physico-chimiques de l’eau sur la production des alevins de Clarias gariepinus : cas de la ferme aquacole du septentrion.;2015-2016
14A714S;Évaluation des pertes zootechniques en production porcine : cas de la ferme porcine NOTIKA Bafoussam.;2015-2016
11V137S;Caractéristiques bromatologiques des farines de poisson au Cameroun et leurs effets sur les performances zootechniques des poulets de chair.;2015-2016
11V199S;Suivi et évaluation des performances techniques d’une ferme avicole.;2015-2016
14A198S;Effet de la substitution partielle de la farine de poisson par la farine d’asticot dans l’alimentation des poulets de chair en finition : performances zootechniques, caractéristique de la carcasse, résultat économique.;2015-2016
11V188S;Évaluation de l’effet de renouvellement de l’eau sur la survie et la croissance des larves et des alevins de Clarias gariepinus en circuit ouvert : cas de l’écloserie du GIC Aquaculture intégré de l’Ouest.;2015-2016
14A082S;Effet du charbon actif des coques de noix de coco sur les performances zootechniques et la qualité de la carcasse des poulets de chair.;2015-2016
14A258S;Effet d’incorporation du contenu du rumen séché dans l’alimentation sur les performances des lapins (Oryctogalus cuniculus) en croissance à la ferme de la fondation Bethléem de Mouda.;2015-2016
14A170S;Influence de la combinaison d’un phytoadditif (Allium cepa) au 17 alpha nethyl testorne sur la réversion sexuelle et les performances  de croissance et de survie chez Oreochromis niloticus.                                                                                                                                                                                                      ;2015-2016
14A658S;Performance des ovins Oudah alimenté à partir du son de riz de l’Extrême –Nord Cameroun. ;2015-2016
14A026S;Insémination artificielle de Clarias gariepinus et sa gestion au stade larvaire et d’alevinage.;2015-2016
14A137S;Caractérisation phénotypiques des porcs locaux et influence de l’alimentation sur leur productivité à Garoua.;2015-2016
14A048S;Impacts de la provenance des animaux de boucherie sur la qualité de la viande : cas des abattoirs de la ville de Maroua.;2015-2016
14A004S;Effet de l’incorporation de la fane d’arachide dans l’alimentation sur les performances zootechniques des lapins (Oryctogalus cuniculus)en croissance à la ferme de la Cathédrale Notre Dame de Maroua.;2015-2016
11V002S;Caractérisation et migration de quelques espèces de poissons durant l’année dans le lac de Maga, des fleuves Logone, Loromé, Logomatya dans la région Extrême-Nord.;2015-2016
14A153S;Amélioration des performances des vaches laitières locales par insémination artificielle : contraintes, avantages, inconvénients.;2015-2016
10S369S;Organisation et évaluation des paramètres zootechniques d’une ferme porcine : cas de la ferme porcine NOTIKA Bafoussam.;2015-2016
14A093S;Étude corrélative entre l’eau de boisson distribuée aux poules et leurs maladies à PROLACAM : cas de la ferme de BALENG II.;2015-2016
11V147S;Le dépérissement des agrumes dans la région de l'Adamaoua;2015-2016
14A511S;Problématique d’adoption des variétés NERICA dans les périmètres irrigués du Logone et Chari;2015-2016
11V352S;Étude de la performance agronomique des nouvelles variétés du coton par rapport à celles qui sont en culture;2015-2016
11V004S;Optimisation de la densité de repiquage du sorgho (Sorghum bicolor) de saison sèche dans               la région de l’Extrême- Nord Cameroun.;2015-2016
11V485S;Évaluation de l’incidence des attaques fongiques sur le processus de production des géniteurs de cacao à la station polyvalente de recherche agricole de Nkoemvone;2015-2016
10S095S;Évaluation  de l’efficacité du programme de protection phytosanitaire contre  les ravageurs du cotonnier  au Cameroun. ;2015-2016
12X181S;Essai d'introduction et d'évaluation variétale de quinoa ;2015-2016
11V186S;Évaluation de l’aptitude au bouturage de 4 géniteur de cacaoyer (snk16.ics46.up a 143.t79/501) par variation du type de bouture de l’emploi de différente dose d’une hormone rhizogène au spran/fodecc de Nkoemvone;2015-2016
14A098S;L’impact de la cendre des feuilles de neem  sur la croissance de trois variétés de sorgho (variété locale, S 34, CS 54).;2015-2016
14A370S;Test du comportement du soja(Glycine max) à un apport de chaux sur sol acide dans la localité de Mangoun à Foumbot;2015-2016
11V340S;Effet des dates de semis sur le rendement de cinq (05) variétés d’ haricot commun (Phaseolus vulgaris) nouvellement introduites dans la localité de Njombé;2015-2016
14A717S;Adaptabilité de cinq (05) variétés d’ haricot commun (Phaseolus vulgaris) dans la localité de Njombé;2015-2016
14A096S;Influence de la date de semis et de repiquage sur la production d'oignon dans le Diamaré;2015-2016
11V407S;Adaptabilité de six variétés de haricot volubille à l’Extrême-Nord;2015-2016
14A073S;Effet de la fertilisation des résidus agricoles sur la croissance et le rendement du mil;2015-2016
14A185S;Caractérisation phénotypique de Faidherbia albida en zone Soudano-Sahélienne du Cameroun;2015-2016
14A226S;Effet des différents types de fertilisation sur le rendement du sorgho dans la zone Sud-Ouest de la Bénoué région du Nord-Cameroun;2015-2016
11V229S;Évaluation de l’effet de quelques fongicides sur pestalotiopsis microspora, agent causal de la maladie des feuilles d’hévéa dans la région du Sud-Ouest Cameroun;2015-2016
14A435S;Évaluation de l'incidence de la Mosaïque Africaine de Manioc sur deux variétés de manioc en association avec le maïs dans la région du centre Cameroun;2015-2016
14A721S;Caractérisation agro-morphologique de quelques variétés de haricot nain (Phaseolus vulgaris) dans la région de l'Extrême-Nord Cameroun;2015-2016
11V349S;Test de pathogénicité et d’agressivité de quelques souches de Fusarium oxysporum prélavées des palmiers à huile de la CDC;2015-2016
10S378S;Impact des pratiques culturales sur l’évolution du carbone organique des sols: Cas des localités de Meskine et Guyring (Maroua, Extrême-Nord Cameroun);2015-2016
14A722S;Effet des divers traitements auxiniques sur le comportement du cacaoyer multiplié par la technique de bouturage direct sous tunnel plastique;2015-2016
12X238S;Contribution à la maîtrise des causes de non-conformité de ph des bières finies à la SABC de Garoua;2016-2017
15E439S;Preparation and quality evaluation of non-alcoholic sorghum malt drink;2016-2017
15E894S;Production de la farine de sevrage a base du sorgho malte et détermination des paramètres physicochimiques;2016-2017
15E517S;Production de la farine de manioc et introduction comme farine de substitution en boulangerie à N’Djamena (Tchad) ;2016-2017
15E028S;Conservation de stock des céréales dans les entrepôts des tailles moyennes, le cas de l’office national de sécurité alimentaire (ONASA) de N’Djamena;2016-2017
12X613S;Conception et dimensionnement d’un four solaire pour la fabrication du pain et biscuit à base de sorgho;2016-2017
15E448S;Déficit des fonctionnalités équipement de régulation des paramètres de séchage et impact sur la chaîne de production;2016-2017
15E395S;Caractérisation physico-chimique et nutritionnelle des biscuits produits à base des farines composites amande de mangue (Mangifera indica) – blé;2016-2017
14A361S;Influence de l’élimination des anti-nutriments des amandes de mangues sur les leurs propriétés physico-chimiques et fonctionnelles;2016-2017
15E476S;Caractérisation nutritionnelle d’un biscuit de riz enrichi à la pulpe de baobab;2016-2017
12X021S;Valorisation des sous-produits de la transformation du manioc en amidon dans la production de la farine pour diabétiques à la STM;2016-2017
15E862S;Réduction du rassissement du pain en utilisant les farines d’amandes de mangues (Mangifera indica) et les paramètres de procédé de fabrication du pain;2016-2017
15E936S;Influence des améliorants sur la rhéologie de la pâte à pain et impact sur la panification;2016-2017
12X018S;Suivi, maîtrise opérationnelle et proposition des solutions pour l’amélioration des performances environnementales de la SOCAPALM de Nkapa;2016-2017
12X268S;Amélioration de la qualité des yaourts par la maîtrise statistique des procédés à CAMLAIT.SA;2016-2017
15E418S;Amélioration et maîtrise des freintes de bières en caves à la SABC de Garoua;2016-2017
15E937S;Suivi et évaluation de la qualité et sécurité sanitaire des denrées alimentaires : cas de l’élimination des contaminants dans le raffinage de l’huile de palme;2016-2017
15E864S;Production de saucisson de poisson substituée au bœuf dénommé « saucisson MADA »;2016-2017
15E865S;Formulation et caractérisation de 3 pains de mie fonctionnels au son de maïs, sorgho et riz;2016-2017
12X113S;Optimisation de la capacité journalière de raffinage d’huile de palme brute soruor au sein de la Soproicam.;2016-2017
15E514S;Extraction des protéines de soja (glycine max) et production artisanale de jambon de soja à IAO;2016-2017
15E437S;Optimisation de la chaîne de production de laiterie de CAMLAIT / Usine de Bassa;2016-2017
14A414S;Appui conseil et la professionnalisation des organisations paysannes : cas des organisations paysannes accompagnées par le programme ACEFA dans l’arrondissement de Maroua 1er, 2e  et 3e;2016-2017
12X154S;Analyse de la pertinence du financement ACEFA et évaluation de ses effets sur les groupements de producteurs dans le département du Mayo-Kani Extrême-Nord Cameroun;2016-2017
14A241S;Impact socio-économique des crédits agro-pastoraux  sur les bénéficiaires en zone rurale : cas de l'UCEC-CDD;2016-2017
12X114S;Évaluation socio-économique des EFA de l’observatoire du programme ACEFA dans le cadre de l’appui conseil : cas de quelques arrondissements du Diamaré;2016-2017
15E736S;Contribution du système cotonnier aux revenus des exploitations familiales;2016-2017
14A750S;Analyse de la rentabilité au sein  des organisations des producteurs agropastoraux dans le Mayo-Kani : cas des coopératives;2016-2017
14A155S;Approches d’assistance aux populations en situation d’urgence et de protection sociale : cas du transfert monétaires ;2016-2017
14A308S;Évaluation de la contribution du revenu des cultures maraîchères dans le développement des exploitations familiales agropastorales;2016-2017
15E365S;Analyse du système de commercialisation du fourrage dans le sahel du Cameroun : cas de la ville de Maroua;2016-2017
12X192S;Rentabilité des exploitations familiales agricoles dans les agro systèmes du Nord : cas des localités de Sanguere-Paul, Zera, Sirlawe et mowo;2016-2017
12X102S;Analyse des performances technico-économiques des exploitations maraîchères : cas de la tomate dans le Diamaré ;2016-2017
15E435S;Étude de l’acceptabilité de la technique de culture hors sol : cas de la production de laitue;2016-2017
12X027S;Essai  d’analyse de l’impact du microcrédit sur la pauvreté : cas des MC2 parrainées par Afriland first bank;2016-2017
15E597S;Analyse de la filière niébé dans la région de l’Extrême-Nord;2016-2017
15E474S;Contribution du BELACD-CARITAS LAI dans la mise en œuvre du projet sécurité alimentaire pour un développement socio-économique de la tandjilé (TCHAD) : cas de la riziculture de contre saison;2016-2017
14A177S;Importance du conseil agricole dans l’accompagnement des organisations paysannes pour la lutte contre l’insécurité alimentaire dans la région de l’Extrême-Nord du Cameroun : cas de la commune de Mokolo;2016-2017
14A036S;Évaluation de la contribution de l’appui financier au niveau des groupements de producteurs accompagnés par le programme au développement des emplois ruraux;2016-2017
14A180S;Contribution du conseil technico-économique au développement des groupements  de producteurs : cas du département de la Benoué;2016-2017
14A261S;Évaluation des effets de l’appui conseil au sein des groupements des producteurs agricoles du Diamaré : cas du programme ACEFA;2016-2017
15E525S;Evaluating the effects of ACEFA's financial support on the activities of farmers organizations in the Diamaré;2016-2017
12X380S;Évaluation du conseil agricole dans le développement des activités économiques des exploitations familiales agropastorales : cas de l’observatoire du programme ACEFA;2016-2017
15E737S;Étude comparative de la rentabilité socio-économique des filières soja et souchet dans le Nord Cameroun : cas de la partie Sud-Ouest du département de la Benoué.;2016-2017
12X010S;Évaluation des appuis promus par le programme d’appui aux PME agricoles et agroalimentaires (PMEAA) dans la région de l’Ouest Cameroun ;2016-2017
12X130S;Résistance à la rouille et performance de quelques variétés de soja sur sol amandé aux feuilles de Tithonia diversifolia;2016-2017
15E935S;Évaluation de la résistance à la sécheresse d’un hybride mutant de niébé ;2016-2017
15E373S;Evaluation of the effet to pre-treatement techniques on the germination of oil palm seeds;2016-2017
12X038S;Effet de la fertilisation organique sur la croissance et le rendement de la tomate sur les sols de Maroua;2016-2017
14A716S;Évaluation de l’effet des biopesticides sur les maladies et ravageurs de la tomate : cas de l’urine de vache et l’extrait du neem  ;2016-2017
14A109S;Effet du tallage aérien de 12 variétés du sorgho repiqué dans la région de l’Extreme-Nord ;2016-2017
15E895S;Étude de l’effet du compost à base de jathropha  curcas et la fertilisation minérale sur les performances agronomique et le rendement du gombo à kismatari Nord-Cameroun ;2016-2017
12X189S;Évaluation du pouvoir germinatif de la morelle africaine dans la localité de Njombé;2016-2017
14A541S;Evaluation of the rooting capacity of cocoa hybrids dissiminated in the 5th agro ecological zone of Cameroon;2016-2017
12X070S;Caractérisation morphologique du poivrier dans les régions du Centre et du Littoral au Cameroun;2016-2017
15E382S;Effet des prétraitements sur la croissance initiale de six provenances de Faidherbia albida de la zone soudano-sahélienne du Cameroun;2016-2017
14A561S;Étude comparative de la fertilité du sol par un apport de fumure organique, de champignons mycorhiziens et d’engrais minéraux pour les cultures maraîchères : cas de la pastèque à FOMAKAP.;2016-2017
11V420S;Réponse de la tomate à la fertilisation chimique, organique et biologique dans la région de l’Extrême-Nord ;2016-2017
15E225S;Évaluation de l’effet de la densité sur le rendement de deux types d’ail dans la région de l’Extrême-Nord- Cameroun ;2016-2017
15E739S;Diversité des insectes ravageurs de la pastèque et quelques méthodes de protection pratiquées à Yagoua ;2016-2017
15E863S;Étude de la diversité génétique de la population du Niébé par les marqueurs microsatellites;2016-2017
14A452S;Évaluation de l’effet des engrais minéraux sur les paramètres de croissance, de développement et de rendement de la culture d’ail dans la localité de Maroua;2016-2017
12X312S;Adaptabilité de trois variétés de riz en saison chaude pour une combinaison optimale densité de semi-dose d’engrais dans le Département du Mayo-Louti;2016-2017
11V425S;Évaluation de la production et de la résistance au bio-agresseur des riz Nerica 3 et IR 46 dans l’agroécosystème de Maroua ;2016-2017
14A230S;Valorisation de la drèche de bil-bil et de l’effluent de harki comme complément à l’embouche des ovins dans la ville de Maroua. ;2016-2017
12X297S;Effet de la supplémentation des drêches de bil-bil et d’azardirachta indica sur les performances de croissance des lapins dans la région de l’extrême-nord. ;2016-2017
15E207S;Effet de la substitution du maïs par la drèche des brasseries dans l’alimentation des poulets de chairs.;2016-2017
15E011S;Evaluation de l’effet des résidus de récolte sur la croissance des ovins : cas des fanes d’arachides.;2016-2017
14A100S;Effet de l’urée sur l’amélioration de la production laitière  des vaches Simgouds au ranch de la SODEPA Faro et Deo.;2016-2017
14A705S;Étude comparative des aliments d’intrants locaux (son de mil, tourteau de coton) et des aliments artificiels avec la fertilisation organique (fiente de poules pondeuses) sur les performances zootechniques de tilapia.;2016-2017
15E976S;Essai de substitution du tourteau de coton par les feuilles de  zizyphus mauritiana enrichi à l’urée pour l’engraissement des caprins  dans la région de l’Extrême-Nord Cameroun. ;2016-2017
15E111S;Incubateur et productivité des poules villageoises : cas de la ferme agropastorale de Foullouwayna  du CODAS CARITAS de Yagoua.  ;2016-2017
12X141S;Essai de substitution du maïs par le sorgho CS 54 germé dans la l’alimentation des poulets de chairs. ;2016-2017
14A707S;Effet de la substitution partielle de la farine de maïs par la farine de cabosse de cacao sur les performances de croissances et de survie des alevins de Cyprinus carpio.;2016-2017
15E584S;Evaluation des performances du sorgho Mandjéri dans l’alimentation des poulets de chairs.  ;2016-2017
12X274S;Valorisation des sous-produits agricoles dans la pisciculture dans le Département de la VINA.;2016-2017
14A421S;Effet de la densité sur les performances des larves de la carpe commune en système hors sol, fertilisé à la fiente de poule et supplémenté à l’aliment artificiel. ;2016-2017
15E301S;Influence des médicaments utilisés en prophylaxie sur les paramètres zootechniques et sur la santé des Lapins : cas de la ferme expérimentale de Nkolbisson.;2016-2017
15E374S;Influence de l’alimentation (bale du riz, son de maïs et tourteau du coton) sur la production laitière à Maroua- Cameroun. ;2016-2017
15E550S;Étude de la production laitière des vaches dans les zones périurbaine de N’Djamena. ;2016-2017
11V015S;Enquête épidémiologique de la brucellose dans la région de l’Ouest cas de l’arrondissement de Koutaba.;2016-2017
15E545S;Reproduction des clarias;2016-2017
09K320S;Pasture resources in PETE sub division of the Far-North Region of Cameroon.;2016-2017
15E738S;Effet compares de incorporation de deux fourrages : Azadirachta indica et Arachis hypogaea sur les performances de reproduction des lapines et de la viabilité des lapereaux dans une ferme cunicole du département du Diamaré. ;2016-2017
12X307S;Élevage des petits ruminants et circuits de commercialisation de la viande des petits ruminants dans l’arrondissement de Maroua II.;2016-2017
14A188S;Effet de l’incorporation des épluchures de concombre sur les performances de croissance des lapereaux après sevrage.;2016-2017
16F152S;Innovation locale : utilisation du « kanwa » (sel gemme) pour réduire le goût amer du chocolat;2017-2018
13Z164S;Formulation du concentré sucré du lait de soja;2017-2018
16F082S;Transformation de la mélasse en produits de la distillerie;2017-2018
15E728S;Influence de la matière première et du procédé sur la qualité hygiénique et sensorielle du « kilishi »;2017-2018
